# PID  Chegada  BurstTotal  Prioridade  Instantes de I/O (CPU acumulada)
101;0;40;2;10,25
102;2;20;1;8
103;4;30;1;15
104;6;15;2;
105;10;25;1;5,20
106;12;35;2;20
107;15;18;1;10
108;18;45;2;15,30
109;20;12;1;
110;22;28;1;12
111;25;50;2;25,40
112;28;22;1;10
113;30;16;2;
114;33;38;1;20
115;35;24;2;15
116;38;42;1;10,30
117;40;19;2;
118;42;33;1;18
119;45;14;2;
120;47;27;1;15
121;50;48;2;20,35
122;52;21;1;12
123;55;36;2;25
124;57;17;1;
125;60;29;2;15
126;63;44;1;20,35
127;65;23;2;
128;68;31;1;18
129;70;13;2;
130;72;26;1;15
131;75;52;2;30,45
132;77;20;1;10
133;80;37;2;20
134;82;15;1;
135;85;42;2;25
136;88;25;1;15
137;90;11;2;
138;93;34;1;20
139;95;18;2;10
140;97;46;1;25,38
141;100;22;2;
142;102;39;1;22
143;105;16;2;
144;107;28;1;15
145;110;53;2;25,42
146;112;21;1;12
147;115;43;2;30
148;117;17;1;
149;120;32;2;20
150;123;14;1;
151;125;47;2;22,38
152;127;24;1;15
153;130;35;2;25
154;132;19;1;
155;135;41;2;28
156;137;26;1;18
157;140;12;2;
158;143;38;1;22
159;145;23;2;15
160;147;55;1;20,42
161;150;17;2;
162;152;30;1;18
163;155;44;2;30
164;157;21;1;
165;160;36;2;22
166;163;15;1;
167;165;48;2;25,38
168;167;27;1;16
169;170;13;2;
170;172;42;1;25
171;175;20;2;
172;177;33;1;20
173;180;16;2;
174;182;28;1;15
175;185;50;2;28,42
176;187;22;1;12
177;190;37;2;25
178;192;14;1;
179;195;45;2;30
180;197;19;1;12
181;200;32;2;20
182;202;25;1;15
183;205;11;2;
184;207;43;1;25
185;210;18;2;
186;212;36;1;22
187;215;24;2;15
188;217;14;1;
189;220;49;2;25,40
190;222;27;1;16
191;225;15;2;
192;227;38;1;22
193;230;21;2;
194;232;44;1;28
195;235;17;2;
196;237;30;1;18
197;240;13;2;
198;242;46;1;25,38
199;245;22;2;
200;248;35;1;20
